player_id,name,team,role,total_points,matches_played,average,home_average,away_average,last_5_average,current_price,max_price,min_price,is_home_next,opponent_next,team_win_prob,draw_prob,opponent_win_prob,match_minus_1,match_minus_2,match_minus_3,match_minus_4,match_minus_5
504e58bb4d8bec9a67000187,Koke,Atlético de Madrid,centrocampista,61,12,5.083333333333333,5.833333333333333,4.333333333333333,4.4,,21084293,20280310,True,R. Oviedo,79.89420904733043,13.554465810788471,6.5513251418810965,2,5,5,8,2
55a975025bcb491d02476ab2,Álvaro Lemos,R. Oviedo,defensa,0,0,0.0,0.0,0.0,0.0,,1062839,1000000,False,Atlético de Madrid,6.5513251418810965,13.554465810788471,79.89420904733043,0,0,0,0,0
505d8a247e438909310001c5,Rubén García,Osasuna,delantero,31,11,2.8181818181818183,3.8,2.0,3.0,,8061564,7499658,False,Mallorca,28.89914230962437,30.995925505590805,40.10493218478483,2,3,3,6,1
610174c4bc32266071ced17a,Oriol Rey,Levante,centrocampista,33,10,3.3,3.6666666666666665,3.142857142857143,0.6,,1649420,1482376,True,Athletic de Bilbao,27.777873528550007,28.1691111838817,44.053015287568286,3,0,0,0,0
657cccb79a154503e6fa2fa8,Rodri Mendoza,Elche,centrocampista,49,9,5.444444444444445,6.8,3.75,3.0,,9105253,8610590,False,Getafe,24.876404976711903,32.135421510899974,42.988173512388116,0,3,4,4,4
6593da11751ea070478c47cc,Cardoso,Atlético de Madrid,centrocampista,10,3,3.3333333333333335,3.0,3.5,0.0,,16212727,15242754,True,R. Oviedo,79.89420904733043,13.554465810788471,6.5513251418810965,0,0,0,0,0
5b644bc71281445662affdfb,Domingos Duarte,Getafe,defensa,40,11,3.6363636363636362,3.6,3.6666666666666665,4.2,,2420490,2200414,True,Elche,42.988173512388116,32.135421510899974,24.876404976711903,2,3,5,6,5
62e58d3e11f4242dbd72531a,Salinas,Espanyol,defensa,5,6,0.8333333333333334,1.0,0.5,0.4,,1000000,1000000,False,Celta de Vigo,24.63583485592638,27.758687161607188,47.60547798246644,0,0,0,2,0
504e58bb4d8bec9a6700017a,Courtois,Real Madrid,portero,67,13,5.153846153846154,4.666666666666667,5.571428571428571,6.2,,35362340,35259711,False,Girona,70.05520654863888,17.422425280791927,12.5223681705692,6,6,6,5,8
5b786a5d95ea0b2b07e4e66e,Morlanes,Mallorca,centrocampista,22,11,2.0,1.8,2.1666666666666665,2.0,,1688642,1339435,True,Osasuna,40.10493218478483,30.995925505590805,28.89914230962437,0,1,1,5,3
6653899c36df000455d63bf7,Espí,Levante,delantero,8,4,2.0,2.6666666666666665,0.0,1.2,,1006891,1000000,True,Athletic de Bilbao,27.777873528550007,28.1691111838817,44.053015287568286,0,0,4,0,2
6861bef57775a433449e9581,Jutglà,Celta de Vigo,delantero,43,10,4.3,3.3333333333333335,5.75,5.2,,16298985,15553411,True,Espanyol,47.60547798246644,27.758687161607188,24.63583485592638,0,3,3,17,3
62815d9a69462008f11c18c0,Primo,Levante,portero,0,0,0.0,0.0,0.0,0.0,,1000000,1000000,True,Athletic de Bilbao,27.777873528550007,28.1691111838817,44.053015287568286,0,0,0,0,0
680529fb802b9e0450bb226a,Eyong,Levante,delantero,88,13,6.769230769230769,6.666666666666667,6.857142857142857,4.0,,44123644,43585430,True,Athletic de Bilbao,27.777873528550007,28.1691111838817,44.053015287568286,1,3,1,10,5
63d8eb7b1d17ae5aff1f4c52,Gueye,Villarreal,centrocampista,65,12,5.416666666666667,6.666666666666667,4.166666666666667,2.6,,36706377,35923507,False,Real Sociedad,36.81723512417979,27.30611605043334,35.87664882538687,2,2,0,7,2
5efa4e35ee5a640417710119,Jon Pacheco,Alavés,defensa,27,7,3.857142857142857,4.0,3.75,2.0,,2564116,2448049,False,Barcelona,6.855670879592667,10.932015726918037,82.21231339348931,3,0,0,3,4
607b5df9e292620d106cbb8e,Chust,Elche,defensa,40,10,4.0,4.6,3.4,3.4,,2597245,2351116,False,Getafe,24.876404976711903,32.135421510899974,42.988173512388116,1,6,0,2,8
68b486b8882e4a05b2d43111,Román,Celta de Vigo,centrocampista,23,5,4.6,3.0,5.666666666666667,3.0,,1000000,1000000,True,Espanyol,47.60547798246644,27.758687161607188,24.63583485592638,2,1,12,0,0
55916197c498293442727262,Unai Simón,Athletic de Bilbao,portero,57,14,4.071428571428571,4.0,4.142857142857143,2.4,,20142663,19478443,True,Real Madrid,21.941293618495106,23.50852887695904,54.55017750454585,8,-1,4,-2,3
